country_imf,country_display,date,year,month,log_exports,log_imports,exchange_rate,trade_balance,exports_mom_pct,imports_mom_pct,anomaly,anomaly_score,is_anomaly
Luxembourg,Luxembourg,2022-03-01,2022,3,18.539328987430714,17.58680025339245,0.9075269496046448,69161330.0,-20.878140848214944,28.246753975302585,1,0.16162005638161492,False
Luxembourg,Luxembourg,2022-04-01,2022,4,18.718885859463988,17.653704229338572,0.9243223257895884,88302304.0,19.66869618996543,6.9192806610601565,1,0.15956568350303402,False
Luxembourg,Luxembourg,2022-05-01,2022,5,18.44865144116221,18.179956682110763,0.945313607789384,24230705.0,-23.679943657227508,69.25774095755588,1,0.15941976246054618,False
Luxembourg,Luxembourg,2022-06-01,2022,6,18.90972144405032,17.648640539579052,0.9464482378854788,116868170.0,58.57698615610942,-41.21692140237554,1,0.14255056888918693,False
Luxembourg,Luxembourg,2022-07-01,2022,7,18.55957410922362,18.142336273419588,0.982423967402214,39196557.0,-29.54157295422426,63.83600012621482,1,0.15903910448815917,False
Luxembourg,Luxembourg,2022-08-01,2022,8,19.14632463502725,18.31015291179161,0.9873193849429204,117069958.0,79.81359224612368,18.271972776353728,1,0.14392382768110096,False
Luxembourg,Luxembourg,2022-09-01,2022,9,19.44056026410189,18.01152214329053,1.00971622384488,210865179.0,34.210010587393214,-25.816673580076156,1,0.14140124266430515,False
Luxembourg,Luxembourg,2022-10-01,2022,10,18.668743176890324,17.839471263871285,1.017742646809342,72231835.0,-53.782750482673,-15.806366753277478,1,0.15310696566329324,False
Luxembourg,Luxembourg,2022-11-01,2022,11,18.314680401426756,17.9002637194101,0.9802698415527212,30515167.0,-29.816909411476555,6.267833941601464,1,0.16655605688628783,False
Luxembourg,Luxembourg,2022-12-01,2022,12,18.535956131418853,18.000283037483086,0.9443932273513842,46539687.0,24.76674052168457,10.519226982442698,1,0.15979891088235454,False
Luxembourg,Luxembourg,2023-01-01,2023,1,18.76725578212216,18.054984674601055,0.9285913269570062,72050200.0,26.023681604279638,5.622543005095038,1,0.15852177630680808,False
Luxembourg,Luxembourg,2023-02-01,2023,2,18.71411484919933,17.69593797851667,0.9332624053905236,85657564.0,-5.175363643280417,-30.165826358312707,1,0.15936157017084468,False
Luxembourg,Luxembourg,2023-03-01,2023,3,20.30729442844265,17.743008880588594,0.9340708431816472,608919348.0,391.9365629927202,4.819632673116825,1,0.05942674949322119,False
Luxembourg,Luxembourg,2023-04-01,2023,4,18.281063107664583,18.013913122942444,0.911766344678089,20389182.0,-86.81685848696381,31.114951790951917,1,0.1499362935528269,False
Luxembourg,Luxembourg,2023-05-01,2023,5,18.28106433798627,18.080737048785327,0.9201748332183116,15788138.0,0.00012303224583565253,6.91072204867631,1,0.16506521038217148,False
Luxembourg,Luxembourg,2023-06-01,2023,6,18.077154461951046,17.61974369925569,0.9225208301009852,26035672.0,-18.446413491989233,-36.93431336398447,1,0.16375554118152202,False
Luxembourg,Luxembourg,2023-07-01,2023,7,19.779426004476846,17.90598089171233,0.9043109796271538,329362770.0,448.6395892490538,33.140822517107125,1,0.07081846568222483,False
Luxembourg,Luxembourg,2023-08-01,2023,8,19.66707209387236,18.112841786262468,0.9166852660778952,274273655.0,-10.627209853222475,22.981149024657753,1,0.15038274390116702,False
Luxembourg,Luxembourg,2023-09-01,2023,9,18.73817833811761,17.4078957965802,0.9359957211623758,101047988.0,-60.500957708471034,-50.5864744944269,1,0.14338949969057935,False
Luxembourg,Luxembourg,2023-10-01,2023,10,18.1187467130996,18.08507402666121,0.94674148793339,2448263.0,-46.17497246987162,96.83157810834923,1,0.1546013592179864,False
Luxembourg,Luxembourg,2023-11-01,2023,11,17.888044181582387,17.688009268162762,0.9252211068168,10643182.0,-20.602438915499754,-32.77095168835209,1,0.16688906088631583,False
